id,age_category,age,gender_category,gender,education_category,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsiveness,sensation,cannabis
386,45-54,4,F,0,University_degree,7,33,41,39,48,46,5,2,0
387,25-34,2,M,1,Certificate-diploma,6,30,37,29,44,39,3,9,1
388,45-54,4,M,1,Left_school_at_18,4,19,43,38,53,46,3,6,0
389,25-34,2,M,1,University_degree,7,24,42,42,34,54,3,8,0
390,35-44,3,M,1,Certificate-diploma,6,37,38,47,42,40,4,4,1
391,25-34,2,M,1,Doctorate,9,30,42,45,44,46,2,2,1
392,35-44,3,F,0,Some_college,5,29,37,48,44,42,5,4,1
393,25-34,2,F,0,University_degree,7,42,40,47,45,43,3,6,1
394,35-44,3,F,0,Left_school_at_17,3,31,42,42,43,49,3,3,0
395,25-34,2,F,0,Certificate-diploma,6,28,39,30,39,51,2,1,0
396,25-34,2,M,1,Certificate-diploma,6,23,44,45,38,53,6,10,1
397,35-44,3,M,1,University_degree,7,38,48,43,33,36,9,5,1
398,35-44,3,F,0,University_degree,7,20,44,39,41,46,4,6,1
399,45-54,4,M,1,Certificate-diploma,6,37,43,40,33,45,8,5,0
400,25-34,2,F,0,Masters,8,28,42,48,34,48,7,6,1
401,45-54,4,M,1,Masters,8,27,48,55,49,46,3,3,1
402,25-34,2,F,0,Left_school_at_18,4,34,39,32,47,47,3,4,1
403,45-54,4,M,1,Left_school_at_16,2,37,32,43,32,37,9,5,1
404,18-24,1,M,1,Some_college,5,27,35,44,39,32,6,10,1
405,18-24,1,M,1,University_degree,7,23,44,44,38,39,2,6,1
406,45-54,4,M,1,Left_school_at_17,3,45,39,45,42,44,7,8,1
407,18-24,1,F,0,Left_school_before_16,1,37,50,57,51,42,8,7,1
408,45-54,4,F,0,University_degree,7,53,33,56,43,39,5,10,1
409,35-44,3,M,1,Left_school_at_17,3,49,39,44,41,37,4,8,1
410,25-34,2,M,1,University_degree,7,29,41,50,44,40,5,2,1
411,35-44,3,F,0,Certificate-diploma,6,22,45,51,45,46,4,10,1
412,45-54,4,M,1,Left_school_at_18,4,46,30,49,49,31,7,10,1
413,35-44,3,F,0,Some_college,5,31,29,48,44,29,4,4,1
414,25-34,2,F,0,University_degree,7,37,47,39,46,40,3,6,1
415,35-44,3,M,1,Some_college,5,36,39,51,44,39,4,9,1
416,35-44,3,F,0,Some_college,5,20,42,38,42,37,5,9,1
417,18-24,1,M,1,Left_school_at_18,4,30,32,42,29,56,4,7,1
418,18-24,1,M,1,Some_college,5,35,35,48,28,32,5,7,1
419,25-34,2,M,1,Some_college,5,28,46,47,36,37,8,2,1
420,25-34,2,F,0,Doctorate,9,39,40,53,40,45,4,9,1
421,25-34,2,M,1,University_degree,7,42,41,45,41,43,5,6,0
422,18-24,1,M,1,Left_school_at_18,4,39,45,46,37,49,6,7,1
423,25-34,2,M,1,Some_college,5,39,27,36,41,39,6,4,1
424,35-44,3,M,1,Certificate-diploma,6,28,39,46,54,37,4,3,1
425,35-44,3,F,0,University_degree,7,26,45,41,51,48,4,4,0
426,45-54,4,F,0,Doctorate,9,41,40,56,49,42,8,10,1
427,35-44,3,M,1,University_degree,7,32,38,47,41,29,4,4,1
428,45-54,4,M,1,Left_school_at_16,2,38,40,44,42,42,6,9,1
429,35-44,3,M,1,University_degree,7,42,34,45,34,41,7,8,1
430,25-34,2,F,0,Left_school_at_18,4,27,39,31,45,47,2,2,1
431,25-34,2,M,1,Left_school_before_16,1,38,33,36,38,40,4,9,1
432,25-34,2,F,0,Left_school_at_18,4,36,42,39,49,34,5,9,1
433,25-34,2,M,1,University_degree,7,33,38,34,45,43,3,3,0
434,45-54,4,F,0,Left_school_at_16,2,38,52,38,51,41,9,7,1
435,18-24,1,F,0,University_degree,7,34,46,35,56,52,4,6,0
436,25-34,2,F,0,University_degree,7,36,43,38,47,53,3,6,0
437,55-64,5,M,1,Some_college,5,29,38,53,54,47,2,3,1
438,45-54,4,M,1,Left_school_at_16,2,23,43,48,37,45,6,10,1
439,25-34,2,F,0,University_degree,7,59,37,40,31,26,7,8,1
440,18-24,1,F,0,Some_college,5,49,38,48,42,28,5,9,1
441,35-44,3,F,0,University_degree,7,31,43,42,48,53,4,6,1
442,18-24,1,F,0,Some_college,5,29,49,31,43,46,6,8,1
443,25-34,2,F,0,Masters,8,27,40,48,42,42,5,8,1
444,35-44,3,M,1,Left_school_at_16,2,40,44,41,38,40,4,9,1
445,45-54,4,F,0,Certificate-diploma,6,31,45,50,44,47,1,4,0
446,45-54,4,F,0,University_degree,7,46,33,42,37,45,4,2,0
447,25-34,2,F,0,University_degree,7,38,32,49,58,37,3,10,1
448,25-34,2,M,1,Masters,8,36,39,40,38,33,8,8,1
449,18-24,1,F,0,Some_college,5,47,49,53,31,35,8,5,1
450,18-24,1,M,1,University_degree,7,32,44,49,41,47,4,8,1
451,18-24,1,F,0,University_degree,7,43,39,40,47,34,6,8,1
452,18-24,1,F,0,Masters,8,25,45,40,42,47,5,6,1
453,35-44,3,F,0,University_degree,7,34,39,47,44,48,2,8,1
454,25-34,2,M,1,University_degree,7,48,27,44,44,45,2,9,1
455,45-54,4,M,1,Doctorate,9,34,36,52,38,40,9,7,1
456,18-24,1,F,0,University_degree,7,44,34,51,38,22,7,9,1
457,35-44,3,M,1,University_degree,7,51,37,48,28,37,7,10,1
458,35-44,3,F,0,Masters,8,31,36,47,47,47,2,1,1
459,18-24,1,F,0,University_degree,7,42,40,47,47,43,4,8,1
460,25-34,2,M,1,Masters,8,45,48,57,26,39,6,8,1
461,18-24,1,F,0,University_degree,7,48,30,54,31,44,7,8,1
462,18-24,1,M,1,Some_college,5,50,30,28,54,32,6,3,1
463,35-44,3,M,1,Some_college,5,44,43,55,44,24,8,5,1
464,45-54,4,M,1,Left_school_at_18,4,46,33,42,52,32,4,10,1
465,18-24,1,F,0,University_degree,7,39,34,53,48,48,5,9,1
466,18-24,1,F,0,Masters,8,49,32,46,40,39,8,7,1
467,18-24,1,F,0,University_degree,7,39,44,53,50,40,3,7,1
468,45-54,4,M,1,University_degree,7,38,40,54,43,51,4,9,1
469,35-44,3,M,1,University_degree,7,35,41,41,41,43,2,3,0
470,25-34,2,M,1,University_degree,7,25,51,55,48,42,7,5,1
471,45-54,4,F,0,Left_school_at_16,2,59,28,36,53,26,4,8,1
472,18-24,1,F,0,University_degree,7,37,45,48,42,47,3,4,0
473,18-24,1,M,1,Masters,8,27,55,53,50,55,4,10,1
474,18-24,1,F,0,Left_school_before_16,1,39,40,45,51,42,5,9,1
475,35-44,3,F,0,Some_college,5,49,40,43,38,38,7,9,1
476,55-64,5,F,0,University_degree,7,33,46,47,42,45,2,1,0
477,45-54,4,F,0,University_degree,7,25,46,43,48,48,3,4,1
478,35-44,3,M,1,University_degree,7,52,33,50,31,39,5,4,1
479,35-44,3,F,0,Certificate-diploma,6,50,35,41,35,32,8,7,1
480,25-34,2,F,0,University_degree,7,40,45,44,49,46,4,8,1
481,25-34,2,F,0,Masters,8,40,37,55,52,44,5,10,1
482,18-24,1,M,1,Some_college,5,47,34,45,34,37,2,4,1
483,35-44,3,F,0,University_degree,7,46,41,48,42,46,5,10,1
484,35-44,3,M,1,Some_college,5,29,39,48,44,52,3,9,1
485,25-34,2,F,0,University_degree,7,48,43,55,45,48,5,4,1
486,35-44,3,F,0,Left_school_at_16,2,30,46,42,48,40,2,3,1
487,45-54,4,F,0,Left_school_at_16,2,31,42,35,50,36,2,4,1
488,25-34,2,M,1,Left_school_at_18,4,50,28,53,38,31,3,3,1
489,35-44,3,F,0,Left_school_at_18,4,53,27,54,36,44,5,6,1
490,25-34,2,M,1,Left_school_at_16,2,40,30,47,48,39,4,5,1
491,18-24,1,M,1,Left_school_before_16,1,54,30,48,30,29,4,8,1
492,18-24,1,M,1,Some_college,5,26,47,52,34,31,3,5,1
493,45-54,4,F,0,Certificate-diploma,6,42,45,49,41,36,8,2,1
494,18-24,1,M,1,Left_school_at_18,4,27,43,49,47,42,5,10,1
495,18-24,1,M,1,Certificate-diploma,6,41,36,52,43,44,7,7,1
496,18-24,1,M,1,Some_college,5,43,28,52,35,29,2,6,1
497,18-24,1,M,1,Certificate-diploma,6,25,37,49,47,43,2,9,1
498,55-64,5,M,1,Some_college,5,28,41,50,47,48,2,6,1
499,25-34,2,M,1,Masters,8,36,48,60,39,42,3,8,1
500,25-34,2,M,1,Left_school_at_16,2,35,36,52,46,36,4,8,1
501,55-64,5,F,0,Some_college,5,49,35,55,42,27,7,5,1
502,35-44,3,F,0,Certificate-diploma,6,36,43,40,38,49,6,7,1
503,25-34,2,F,0,Certificate-diploma,6,30,39,36,43,39,7,1,1
504,18-24,1,M,1,Some_college,5,22,44,44,39,40,6,7,1
505,55-64,5,F,0,Certificate-diploma,6,36,38,44,38,46,8,7,1
506,35-44,3,M,1,Left_school_at_16,2,35,40,44,43,45,2,3,1
507,45-54,4,M,1,Certificate-diploma,6,40,43,48,36,33,7,8,1
508,35-44,3,M,1,University_degree,7,31,44,52,38,46,5,8,1
509,25-34,2,M,1,University_degree,7,37,38,39,34,42,5,6,1
510,35-44,3,M,1,Left_school_at_16,2,50,32,38,31,36,3,8,1
511,35-44,3,F,0,Masters,8,26,47,44,45,43,2,6,0
512,35-44,3,M,1,University_degree,7,36,46,42,41,39,6,9,1
513,45-54,4,F,0,Masters,8,40,43,45,42,44,4,3,1
514,18-24,1,M,1,Some_college,5,40,43,50,44,34,9,10,1
515,55-64,5,M,1,Left_school_at_16,2,34,38,45,48,45,4,9,1
516,35-44,3,M,1,Left_school_at_16,2,45,38,35,40,40,4,9,0
517,18-24,1,F,0,Left_school_at_17,3,23,52,49,44,44,7,2,1
518,35-44,3,F,0,Left_school_at_16,2,34,41,41,32,44,4,6,1
519,25-34,2,F,0,Masters,8,39,39,48,40,48,3,9,1
520,25-34,2,M,1,Certificate-diploma,6,41,36,47,42,36,6,5,1
521,25-34,2,M,1,Masters,8,34,42,37,50,53,6,5,1
522,35-44,3,F,0,University_degree,7,38,38,39,38,48,2,1,1
523,45-54,4,F,0,Left_school_at_16,2,42,38,40,40,43,3,3,1
524,18-24,1,M,1,Some_college,5,36,42,46,34,41,6,8,1
525,18-24,1,M,1,Some_college,5,33,43,45,38,32,5,8,1
526,35-44,3,F,0,Left_school_before_16,1,37,34,33,44,45,2,1,1
527,45-54,4,F,0,University_degree,7,29,44,53,55,56,5,8,1
528,55-64,5,M,1,Left_school_at_18,4,20,43,38,43,45,3,6,0
529,18-24,1,M,1,Certificate-diploma,6,45,30,44,30,31,7,8,1
530,35-44,3,M,1,Doctorate,9,42,39,45,47,29,6,9,1
531,25-34,2,F,0,Certificate-diploma,6,43,47,46,43,42,4,5,1
532,55-64,5,M,1,University_degree,7,45,40,50,30,46,4,3,1
533,45-54,4,M,1,University_degree,7,46,29,41,45,35,4,7,1
534,18-24,1,F,0,University_degree,7,33,41,41,53,49,5,3,0
535,25-34,2,M,1,Masters,8,32,39,41,32,37,6,8,0
536,35-44,3,F,0,Masters,8,20,54,43,52,51,5,3,0
537,25-34,2,F,0,University_degree,7,45,40,52,29,38,5,9,1
538,18-24,1,F,0,University_degree,7,49,45,39,49,37,6,8,1
539,45-54,4,F,0,Some_college,5,43,38,37,48,35,2,2,0
540,35-44,3,F,0,University_degree,7,47,38,46,47,46,5,10,0
541,45-54,4,M,1,Masters,8,24,48,45,47,53,1,3,0
542,45-54,4,F,0,University_degree,7,26,42,45,37,43,2,2,1
543,45-54,4,F,0,University_degree,7,38,45,46,48,45,5,8,0
544,35-44,3,M,1,Left_school_at_17,3,43,45,52,35,34,5,5,1
545,25-34,2,F,0,University_degree,7,44,44,39,38,44,4,9,0
546,18-24,1,F,0,Left_school_at_16,2,48,36,41,38,34,8,9,1
547,35-44,3,F,0,Certificate-diploma,6,51,41,43,47,36,3,9,0
548,45-54,4,F,0,Some_college,5,27,37,52,59,42,2,3,1
549,25-34,2,F,0,Masters,8,20,35,39,40,54,2,4,0
550,18-24,1,M,1,University_degree,7,48,37,47,44,28,6,3,0
551,25-34,2,F,0,Masters,8,25,47,47,39,41,4,4,1
552,18-24,1,F,0,University_degree,7,34,37,36,48,50,2,6,1
553,35-44,3,F,0,Masters,8,28,48,47,36,49,4,5,1
554,18-24,1,F,0,Masters,8,52,29,45,48,44,4,3,0
555,25-34,2,F,0,Masters,8,46,26,43,43,45,3,1,1
556,25-34,2,F,0,Doctorate,9,42,43,43,43,50,6,8,0
557,45-54,4,F,0,Masters,8,38,33,38,43,48,3,3,0
558,18-24,1,F,0,University_degree,7,34,38,48,42,44,2,6,1
559,25-34,2,F,0,University_degree,7,21,46,45,52,50,3,9,0
560,18-24,1,F,0,University_degree,7,31,39,42,49,41,8,5,1
561,45-54,4,F,0,University_degree,7,28,40,49,45,49,5,6,1
562,18-24,1,F,0,University_degree,7,46,41,41,45,45,3,6,0
563,35-44,3,F,0,University_degree,7,42,44,49,36,47,4,9,1
564,35-44,3,F,0,Masters,8,58,43,35,41,51,4,4,1
565,25-34,2,F,0,Masters,8,44,42,42,31,40,5,8,1
566,45-54,4,F,0,Some_college,5,31,37,46,44,39,9,4,1
567,45-54,4,F,0,Masters,8,39,34,47,47,36,3,4,0
568,18-24,1,F,0,University_degree,7,45,47,39,49,46,2,3,1
569,18-24,1,M,1,University_degree,7,53,44,54,37,38,4,8,1
570,35-44,3,M,1,Masters,8,46,34,45,41,42,4,9,1
571,35-44,3,F,0,Doctorate,9,32,45,45,37,56,3,6,1
572,35-44,3,F,0,Certificate-diploma,6,38,47,38,31,39,6,7,0
573,18-24,1,F,0,Masters,8,21,52,45,50,53,5,7,0
574,35-44,3,M,1,Certificate-diploma,6,48,31,34,36,37,9,8,1
575,55-64,5,F,0,Some_college,5,27,46,49,39,39,6,9,1
576,35-44,3,F,0,University_degree,7,55,29,33,47,28,3,2,1
577,35-44,3,M,1,Left_school_at_16,2,20,45,35,40,49,4,8,0
578,25-34,2,F,0,Masters,8,44,42,47,47,48,3,6,0
579,25-34,2,F,0,University_degree,7,46,45,41,51,41,3,9,1
580,45-54,4,F,0,Masters,8,46,39,48,50,51,2,2,1
581,18-24,1,F,0,Masters,8,34,45,50,44,47,4,9,1
582,35-44,3,F,0,Some_college,5,25,40,38,43,27,9,9,1
583,18-24,1,M,1,Some_college,5,27,50,49,41,37,7,7,1
584,35-44,3,F,0,Certificate-diploma,6,39,48,56,41,48,6,8,0
585,18-24,1,F,0,Some_college,5,42,40,42,46,39,4,5,1
586,25-34,2,M,1,University_degree,7,33,41,44,35,47,8,10,1
587,18-24,1,M,1,Certificate-diploma,6,43,36,54,36,40,6,10,1
588,18-24,1,M,1,Some_college,5,39,42,44,48,28,5,7,1
589,25-34,2,F,0,Left_school_at_16,2,31,50,49,49,43,4,8,1
590,55-64,5,F,0,Some_college,5,24,39,48,37,45,6,8,1
591,35-44,3,M,1,Left_school_before_16,1,30,40,42,39,46,4,10,1
592,35-44,3,F,0,University_degree,7,40,37,44,32,52,4,4,1
593,35-44,3,F,0,Certificate-diploma,6,14,46,47,46,54,3,9,1
594,25-34,2,M,1,Certificate-diploma,6,35,46,46,47,46,5,7,1
595,35-44,3,M,1,Left_school_at_16,2,32,36,42,35,37,8,7,1
596,45-54,4,M,1,Certificate-diploma,6,39,41,43,34,45,4,7,1
597,18-24,1,M,1,Left_school_at_16,2,23,45,51,49,48,6,5,1
598,55-64,5,F,0,Certificate-diploma,6,32,37,44,38,46,7,5,1
599,45-54,4,F,0,Certificate-diploma,6,36,41,42,46,44,4,6,1
600,18-24,1,M,1,Some_college,5,41,39,48,43,35,6,10,1
601,45-54,4,F,0,Masters,8,43,36,42,54,43,3,3,1
602,18-24,1,M,1,Some_college,5,46,47,51,44,34,9,5,1
603,18-24,1,M,1,Some_college,5,41,28,38,29,46,6,5,1
604,18-24,1,M,1,Some_college,5,54,33,51,39,34,6,7,1
605,25-34,2,M,1,University_degree,7,29,34,43,33,43,3,9,1
606,35-44,3,F,0,Some_college,5,40,42,48,49,45,3,6,1
607,55-64,5,F,0,Masters,8,15,47,57,51,34,3,6,1
608,18-24,1,M,1,University_degree,7,31,40,38,52,36,4,5,1
609,45-54,4,M,1,Some_college,5,35,40,52,55,41,3,8,1
610,25-34,2,M,1,University_degree,7,21,48,54,44,49,6,2,1
611,55-64,5,F,0,Certificate-diploma,6,48,34,36,50,30,9,9,1
612,25-34,2,M,1,Some_college,5,27,46,52,44,37,5,2,1
613,25-34,2,M,1,University_degree,7,29,42,42,51,46,6,5,1
614,35-44,3,M,1,University_degree,7,25,41,45,41,39,4,6,1
615,25-34,2,F,0,Masters,8,54,38,44,32,37,5,8,1
616,25-34,2,F,0,Left_school_before_16,1,33,44,41,37,44,8,9,1
617,35-44,3,F,0,Masters,8,37,39,43,48,40,7,5,1
618,45-54,4,F,0,Some_college,5,46,41,45,39,34,8,5,1
619,45-54,4,M,1,Certificate-diploma,6,27,48,44,39,47,3,8,1
620,25-34,2,F,0,University_degree,7,35,47,52,44,42,6,8,1
621,55-64,5,M,1,Masters,8,29,33,51,37,46,2,4,0
622,18-24,1,M,1,Left_school_at_18,4,41,30,43,52,28,8,10,1
623,35-44,3,M,1,Masters,8,27,44,45,34,44,7,10,1
624,35-44,3,F,0,Masters,8,34,43,44,45,52,3,2,1
625,45-54,4,F,0,Masters,8,32,40,43,41,31,9,6,1
626,35-44,3,F,0,Doctorate,9,36,40,37,43,44,2,9,1
627,35-44,3,F,0,Certificate-diploma,6,32,36,42,37,44,3,2,1
628,35-44,3,M,1,University_degree,7,35,37,40,40,45,4,9,1
629,35-44,3,M,1,Doctorate,9,21,33,35,54,46,1,4,1
630,25-34,2,F,0,Doctorate,9,48,32,37,53,44,2,2,1
631,45-54,4,F,0,Doctorate,9,31,43,50,45,41,4,1,0
632,35-44,3,F,0,Doctorate,9,41,38,56,45,49,2,1,1
633,18-24,1,F,0,University_degree,7,40,39,44,56,49,2,6,0
634,18-24,1,F,0,University_degree,7,48,37,37,37,47,2,1,1
635,25-34,2,F,0,Masters,8,29,51,49,44,44,3,8,1
636,35-44,3,F,0,Doctorate,9,48,41,46,36,37,4,5,1
637,35-44,3,M,1,University_degree,7,28,38,45,50,38,3,8,1
638,45-54,4,F,0,University_degree,7,29,42,43,46,42,5,9,1
639,35-44,3,F,0,Certificate-diploma,6,32,41,39,48,45,2,3,0
640,18-24,1,F,0,University_degree,7,33,36,36,42,52,3,8,0
641,25-34,2,M,1,Left_school_at_16,2,33,51,52,51,45,6,2,1
642,45-54,4,M,1,University_degree,7,34,35,49,44,41,4,6,1
643,35-44,3,M,1,Masters,8,29,46,52,56,53,4,10,1
644,25-34,2,F,0,Masters,8,26,44,44,51,50,3,10,1
645,25-34,2,M,1,Some_college,5,38,38,34,47,37,4,8,1
646,45-54,4,M,1,University_degree,7,36,38,44,38,39,8,6,1
647,18-24,1,F,0,University_degree,7,31,39,44,42,47,4,6,0
648,18-24,1,M,1,Some_college,5,23,49,53,32,48,3,10,1
649,35-44,3,F,0,Masters,8,47,41,53,55,34,8,2,1
650,25-34,2,F,0,University_degree,7,34,45,37,43,54,5,3,1
651,45-54,4,F,0,Masters,8,31,53,59,53,43,8,10,1
652,25-34,2,M,1,Masters,8,42,43,49,47,34,5,3,1
653,18-24,1,M,1,Some_college,5,46,48,54,39,34,5,10,1
654,18-24,1,M,1,Some_college,5,29,44,46,44,42,8,10,1
655,35-44,3,F,0,Left_school_at_16,2,32,46,41,46,49,3,4,1
656,25-34,2,M,1,Masters,8,31,51,43,42,34,6,7,1
657,45-54,4,M,1,Some_college,5,48,36,48,35,33,8,10,1
658,45-54,4,M,1,Certificate-diploma,6,47,30,55,40,31,9,2,1
659,18-24,1,M,1,Masters,8,42,41,49,41,38,7,8,1
660,25-34,2,M,1,Doctorate,9,28,49,57,37,39,8,10,1
661,25-34,2,F,0,Masters,8,24,43,46,50,43,2,2,0
662,18-24,1,F,0,University_degree,7,33,32,41,42,51,2,4,1
663,25-34,2,F,0,University_degree,7,36,41,48,55,53,6,3,1
664,25-34,2,F,0,Doctorate,9,48,31,44,34,31,4,6,1
665,18-24,1,M,1,University_degree,7,32,37,50,45,38,6,7,1
666,25-34,2,F,0,Doctorate,9,47,37,47,45,40,3,9,1
667,18-24,1,M,1,Left_school_at_18,4,19,38,47,42,35,7,10,1
668,35-44,3,M,1,Some_college,5,45,35,54,41,44,4,8,1
669,45-54,4,M,1,University_degree,7,21,53,47,45,39,5,9,1
670,25-34,2,M,1,Some_college,5,30,46,49,41,41,5,7,1
671,18-24,1,M,1,Certificate-diploma,6,32,41,43,38,39,1,6,1
672,35-44,3,M,1,Certificate-diploma,6,31,45,46,39,43,7,5,1
673,18-24,1,M,1,University_degree,7,33,40,55,48,48,6,9,1
674,18-24,1,F,0,Some_college,5,48,47,49,47,48,3,8,1
675,18-24,1,F,0,Masters,8,44,35,42,39,34,3,7,0
676,35-44,3,M,1,Certificate-diploma,6,35,38,41,38,36,5,5,1
677,18-24,1,M,1,Certificate-diploma,6,38,40,34,42,44,7,7,1
678,25-34,2,M,1,University_degree,7,41,38,49,39,37,4,9,1
679,18-24,1,M,1,Some_college,5,56,24,44,43,26,2,2,0
680,18-24,1,F,0,Some_college,5,42,38,42,35,51,3,5,1
681,45-54,4,M,1,Doctorate,9,38,34,45,43,26,3,1,1
682,35-44,3,M,1,Some_college,5,24,40,37,39,43,7,7,1
683,25-34,2,M,1,Masters,8,49,27,49,45,46,2,4,1
684,35-44,3,F,0,University_degree,7,41,39,43,42,37,2,6,1
685,35-44,3,F,0,Certificate-diploma,6,45,35,54,35,30,8,2,1
686,25-34,2,M,1,University_degree,7,32,41,51,40,36,7,10,1
687,18-24,1,F,0,Some_college,5,51,46,55,41,35,7,5,1
688,45-54,4,F,0,Left_school_before_16,1,27,44,39,49,44,2,1,1
689,35-44,3,M,1,Some_college,5,46,47,44,35,46,7,5,1
690,55-64,5,F,0,Masters,8,44,35,43,43,41,9,10,1
691,55-64,5,M,1,Some_college,5,40,35,36,33,41,6,6,0
692,25-34,2,F,0,University_degree,7,34,39,39,44,45,3,6,0
693,45-54,4,F,0,Masters,8,38,35,44,41,38,3,4,1
694,35-44,3,M,1,Masters,8,25,38,47,46,46,2,4,1
695,35-44,3,M,1,Certificate-diploma,6,27,36,43,39,40,5,9,1
696,35-44,3,F,0,Masters,8,34,37,46,51,53,3,3,0
697,55-64,5,M,1,University_degree,7,28,42,49,33,51,4,8,1
698,45-54,4,F,0,University_degree,7,21,38,53,53,42,3,8,1
699,35-44,3,M,1,University_degree,7,35,33,52,43,37,4,6,1
700,55-64,5,M,1,Some_college,5,34,32,41,45,34,4,10,1
701,35-44,3,F,0,Some_college,5,45,41,49,37,43,8,5,1
702,45-54,4,M,1,Left_school_before_16,1,26,47,49,48,49,3,10,1
703,35-44,3,F,0,University_degree,7,32,44,50,41,42,7,7,1
704,55-64,5,M,1,University_degree,7,23,45,45,37,41,3,8,1
705,35-44,3,M,1,Some_college,5,28,38,42,39,44,3,6,1
706,18-24,1,M,1,Some_college,5,23,42,53,55,43,3,9,1
707,18-24,1,F,0,University_degree,7,34,33,36,40,44,6,4,1
708,25-34,2,M,1,University_degree,7,35,52,48,42,38,6,10,1
709,18-24,1,M,1,Some_college,5,40,36,43,48,49,2,6,1
710,18-24,1,M,1,Certificate-diploma,6,27,38,41,47,45,3,2,1
711,18-24,1,M,1,University_degree,7,45,41,50,39,32,5,5,1
712,18-24,1,M,1,Some_college,5,30,39,40,50,45,2,4,1
713,25-34,2,F,0,Masters,8,41,42,51,44,49,4,6,1
714,18-24,1,M,1,University_degree,7,41,45,52,54,42,7,7,1
715,18-24,1,M,1,Certificate-diploma,6,43,47,49,36,40,7,2,1
716,18-24,1,F,0,Some_college,5,42,43,53,54,44,4,10,1
717,18-24,1,M,1,Some_college,5,35,29,37,39,28,8,4,1
718,35-44,3,M,1,University_degree,7,28,34,44,44,44,3,4,1
719,18-24,1,M,1,Left_school_at_16,2,35,31,41,39,40,9,5,1
720,55-64,5,M,1,University_degree,7,32,33,41,40,39,6,10,1
721,35-44,3,M,1,Some_college,5,48,45,52,42,49,7,7,1
722,35-44,3,F,0,Certificate-diploma,6,51,35,48,48,43,3,4,1
723,55-64,5,M,1,Certificate-diploma,6,35,38,46,39,39,2,3,1
724,25-34,2,F,0,University_degree,7,27,49,48,49,46,5,6,1
725,35-44,3,F,0,Some_college,5,47,36,51,48,39,5,9,1
726,25-34,2,F,0,Masters,8,39,44,51,53,44,4,2,1
727,18-24,1,M,1,Certificate-diploma,6,56,33,51,35,38,3,6,1
728,25-34,2,F,0,Masters,8,39,44,42,44,41,5,9,0
729,18-24,1,M,1,Some_college,5,23,41,51,41,30,5,8,1
730,25-34,2,F,0,Left_school_at_16,2,30,42,47,39,43,8,7,1
731,35-44,3,F,0,University_degree,7,43,40,39,43,42,4,3,1
732,18-24,1,M,1,Some_college,5,28,48,44,42,38,5,10,1
733,18-24,1,F,0,University_degree,7,48,44,51,42,42,3,9,1
734,35-44,3,M,1,Left_school_at_16,2,42,41,48,41,40,4,6,1
735,18-24,1,M,1,Some_college,5,43,47,55,33,28,7,7,1
736,25-34,2,F,0,University_degree,7,38,53,59,53,37,8,5,1
737,25-34,2,M,1,University_degree,7,31,27,26,33,33,2,8,1
738,25-34,2,M,1,University_degree,7,26,51,46,44,55,6,5,1
739,18-24,1,F,0,Left_school_at_18,4,48,41,55,51,46,3,10,1
740,25-34,2,M,1,Masters,8,35,30,49,40,38,5,7,1
741,35-44,3,M,1,Some_college,5,24,41,50,51,37,7,8,1
743,45-54,4,F,0,Masters,8,44,38,48,48,52,6,10,1
744,35-44,3,F,0,University_degree,7,42,41,41,37,35,2,3,1
745,25-34,2,M,1,Left_school_at_16,2,32,40,42,37,47,6,10,1
746,45-54,4,M,1,Some_college,5,27,41,46,47,30,8,9,0
747,25-34,2,F,0,Left_school_at_16,2,43,42,38,46,39,3,9,0
748,25-34,2,F,0,Masters,8,35,43,49,45,45,3,9,1
749,35-44,3,F,0,Left_school_at_16,2,40,36,36,43,28,5,9,1
750,35-44,3,F,0,Doctorate,9,21,46,39,53,54,4,6,0
751,35-44,3,M,1,Masters,8,34,40,46,50,41,4,10,1
752,25-34,2,F,0,Certificate-diploma,6,17,49,33,50,50,4,4,1
753,25-34,2,M,1,Some_college,5,51,38,53,52,28,9,8,1
754,25-34,2,F,0,Masters,8,40,47,42,51,45,5,10,1
755,25-34,2,M,1,Doctorate,9,27,43,55,50,38,5,8,1
756,18-24,1,M,1,Some_college,5,23,50,56,48,56,3,3,1
757,18-24,1,F,0,Masters,8,42,42,42,44,47,4,9,1
758,18-24,1,F,0,Some_college,5,56,37,45,48,25,8,10,1
759,18-24,1,M,1,Some_college,5,40,44,46,42,40,6,5,1
760,18-24,1,M,1,Doctorate,9,14,51,50,50,44,3,10,1
761,25-34,2,M,1,University_degree,7,36,33,40,40,37,5,5,1
762,18-24,1,M,1,Some_college,5,52,42,38,40,23,10,9,1
763,25-34,2,F,0,University_degree,7,24,45,55,50,43,4,10,1
764,18-24,1,F,0,University_degree,7,47,45,50,49,30,7,4,1
765,18-24,1,M,1,Left_school_at_16,2,40,33,53,47,34,6,7,1
766,18-24,1,M,1,Some_college,5,42,41,58,48,42,5,5,1
767,18-24,1,M,1,Some_college,5,46,34,48,56,37,6,8,1
768,25-34,2,M,1,Masters,8,44,35,47,38,40,3,8,1
769,18-24,1,F,0,Certificate-diploma,6,32,44,47,41,47,8,6,1
770,25-34,2,M,1,University_degree,7,46,41,50,46,47,2,7,1
771,18-24,1,M,1,Some_college,5,42,28,37,43,35,9,5,1
772,18-24,1,F,0,Masters,8,41,30,33,49,44,6,4,0
773,45-54,4,M,1,University_degree,7,48,30,43,39,28,5,10,1
